RBCRWAJ,ROA,REPDTE,ROE,ASSET,STNAME,CERT,NETINC,LNLSNET,LNLSDEPR,DEP,EQTOT,ID
11.958635706364747,1.6483889332453543,20191231,21.47,69942929,CALIFORNIA,24735,1036618.0,32844500,52.18071525192842,62943752,5034095.0,24735_20191231
13.225001928128988,1.1740918389224182,20191231,10.84,69171552,UTAH,2270,816082.0,48342919,84.68513021532075,57085487,7353251.0,2270_20191231
35.65417218516877,1.7088190250466804,20191231,15.5,63780722,UTAH,57565,1001433.0,49385501,87.5498094594389,56408462,6635759.0,57565_20191231
12.367777195191293,1.1249128588058945,20191231,12.63,61390143,CALIFORNIA,17281,623712.0,42108387,84.73597163483986,49693638,5274410.0,17281_20191231
12.117870732786223,1.057249392803528,20191231,7.82,58343490,CONNECTICUT,27334,543468.0,43921156,99.70815021164155,44049715,7799875.0,27334_20191231
12.810997220289613,0.8176844734409154,20191231,6.03,53617338,NEW YORK,16022,429916.0,41746517,131.1130621804147,31840090,7168934.0,16022_20191231
13.319073431063732,1.2025566847717954,20191231,12.73,50621162,NEW YORK,57053,588926.0,39150227,96.93973312782394,40386151,4769823.0,57053_20191231
0.0,0.0,20191231,,48842967,NEW YORK,33653,,15346039,79.5873985245096,19281996,,33653_20191231
11.776934113665492,1.315266780590128,20191231,12.08,48103435,GEORGIA,873,584066.0,36996221,95.4000292005481,38780094,5300302.0,873_20191231
0.0,0.0,20191231,,47481512,NEW YORK,33692,,14147942,33.325111158356684,42454298,,33692_20191231
12.287053958353114,1.0894478655103708,20191231,9.73,46627366,SOUTH DAKOTA,28330,359726.0,34584198,99.77489903056707,34662223,5546304.0,28330_20191231
15.192930227620336,0.9792417750573456,20191231,8.41,45268906,CALIFORNIA,58978,434377.0,28349435,79.13733560356403,35823085,5266285.0,58978_20191231
36.70525948342606,1.0736478477345008,20191231,13.9,44775501,VIRGINIA,30746,515933.0,1595747,4.057961557534908,39323857,3488221.0,30746_20191231
