ACTIVE,ROA,REPDTE,ROE,ASSET,state,INTINC,LNCI,NONIX,NETINC,LNLSDEPR,DEP,SC,LNCON,city,RBCRWAJ,LNRE,cert_id,NONII,LNLSNET,EQTOT,ID,loan_to_deposit_ratio,capital_adequacy_ratio,npl_ratio,cost_to_income_ratio,net_interest_margin,risk_tier,size_bucket
1,3.097887111769454,20231231,36.63,305801,TEXAS,16431.0,80308,10703.0,9110.0,66.471049649923,275368,56457,8565.0,ANDREWS,14.276323336068684,96008,17603,5003.0,183040,26739.0,17603_20231231,66.471049649923,14.276323336068684,0.036315040237064576,49.93468321358589,5.373102115428007,LOW,Community ($100M-$1B)
1,0.40428880582333265,20231231,8.46,305577,MINNESOTA,11778.0,17214,5012.0,1233.0,72.54086703990899,267208,96159,3962.0,BLUE EARTH,0.0,118709,5097,1480.0,193835,16687.0,5097_20231231,72.54086703990899,0.0,0.03742402922068202,37.80359028511088,3.854347676690327,MEDIUM,Community ($100M-$1B)
1,1.1685307746654476,20231231,14.83,305566,NEW MEXICO,15448.0,36988,7833.0,3599.0,66.86874785815695,245116,89073,11359.0,CLOVIS,20.60054907343857,97208,57022,1756.0,163906,27249.0,57022_20231231,66.86874785815695,20.60054907343857,0.04079701039507824,45.53010927691234,5.055536283487037,LOW,Community ($100M-$1B)
1,0.7817078436815644,20231231,7.07,305206,PENNSYLVANIA,13143.0,7377,7730.0,2433.0,68.0944858196043,265860,78618,7845.0,ALTOONA,0.0,168188,27711,1159.0,181036,36501.0,27711_20231231,68.0944858196043,0.0,0.037613781689611075,54.048384841280935,4.3062718295184235,MEDIUM,Community ($100M-$1B)
1,1.006284408434611,20231231,26.5,304931,MINNESOTA,13142.0,24807,7053.0,3100.0,70.46613100828222,258747,104246,10916.0,MORA,15.653287223387569,142276,18885,1022.0,182329,14991.0,18885_20231231,70.46613100828222,15.653287223387569,0.0386477910855005,49.79525557752048,4.309827469165155,LOW,Community ($100M-$1B)
1,1.347864659537458,20231231,13.29,304871,CALIFORNIA,19827.0,70599,8650.0,4175.0,76.5767570035809,249658,42515,15454.0,SANTA ANA,18.93314998761562,108207,59098,393.0,191180,34027.0,59098_20231231,76.5767570035809,18.93314998761562,0.0400547949595046,42.77942631058358,6.503406358755015,LOW,Community ($100M-$1B)
1,1.49615978178947,20231231,16.86,304864,OKLAHOMA,15423.0,5641,8245.0,4669.0,65.59421808204726,272989,91748,3884.0,TUTTLE,0.0,167631,402,1305.0,179065,30473.0,402_20231231,65.59421808204726,0.0,0.03663151262505083,49.28861788617886,5.058977117665582,MEDIUM,Community ($100M-$1B)
1,1.1425012414247326,20231231,11.95,304803,OHIO,13005.0,16838,6637.0,3511.0,69.97551508370469,260977,98952,5063.0,BEVERLY,0.0,165331,10266,1295.0,182620,32429.0,10266_20231231,69.97551508370469,0.0,0.03831755288780237,46.41258741258741,4.266690288481413,MEDIUM,Community ($100M-$1B)
1,0.9064262913814217,20231231,9.3,304788,NEBRASKA,14310.0,44046,7548.0,2709.0,107.09187040285848,248524,15923,10688.0,LINCOLN,0.0,206642,5396,1004.0,266149,30712.0,5396_20231231,107.09187040285848,0.0,0.040237562569409795,49.288232989421445,4.695066734910823,MEDIUM,Community ($100M-$1B)
1,0.42162172259158603,20231231,5.26,304504,KENTUCKY,13080.0,10235,7067.0,1264.0,80.24696339937856,247810,83878,5712.0,MILTON,19.055512721665384,181381,12163,751.0,198860,24812.0,12163_20231231,80.24696339937856,19.055512721665384,0.04035349663048303,51.09536548333454,4.2955100754013085,LOW,Community ($100M-$1B)
